id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q1261215,Druk Gyalpo,Q917,Q917,,,1907,,,,Druk Gyalpo
Q663871,Prime Minister of Bhutan,Q917,Q917,,,,,,,Prime Minister of Bhutan
Q108883868,Minister of Agriculture and Forests of Bhutan,,Q917,,,,,,,
Q108883873,Minister of Economic Affairs of Bhutan,,Q917,,,,,,,
Q108883692,Minister of Education,,Q917,,,,,,,
Q108883751,Minister of Finance of Bhutan,,Q917,,,,,,,
Q4294896,Foreign Minister of Bhutan,Q917,Q917,,,,,,,Foreign Minister of Bhutan
Q108883702,Minister of Health of Bhutan,,Q917,,,,,,,
Q108883698,Minister for Information and Communication,,Q917,,,,,,,
Q108883865,Minister of Home and Cultural Affairs of Bhutan,,Q917,,,,,,,
Q108883882,Minister of Labour and Human Resources of Bhutan,,Q917,,,,,,,
Q108883743,Minister of Works and Human Settlement,,Q917,,,,,,,
Q109969110,Speaker of the National Assembly of Bhutan,,,,,,,,,
Q109969128,Chairman of the National Council of Bhutan,,,,,,,,,
Q108883651,Chief Justice of Bhutan,,Q917,,,,,,,
Q109969140,Governor of the Royal Monetary Authority of Bhutan,Q917,,,,,,,,
Q109969163,Chief Operations Officer of the Royal Bhutan Army,Q917,,,,,,,,
