name,position
(Dr.) Tandi Dorji,Minister of Foreign Affairs
Yeshey Penjor,Minister of Agriculture and Forests
Karma Donnen Wangdi,Minister of Information and Communications
Loknath Sharma,Minister of Economic Affairs
Dorji Tshering,Minister of Works and Human Settlement
Dechen Wangmo,Minister of Health
Namgay Tshering,Minister of Finance
Ugyen Dorji,Minister of Home & Cultural Affairs
Jai Bir Rai,Minister of Education
Karma Dorji,Minister of Labor and Human Resources
